carrier,strength
1,-150
2,-50
3,-90
1,-155
2,-50
3,-80
1,-155
2,-55
3,-80
1,-150
2,-50
3,-85
1,-152
2,-48
3,-91
1,-156
2,-45
3,-82
1,-151
2,-56
3,-83
1,-162
2,-44
3,-86
1,-154
2,-43
3,-94
1,-157
2,-49
3,-83
1,-152
2,-58
3,-81
1,-153
2,-53
3,-87
1,-153
2,-49
3,-91
1,-153
2,-49
3,-81
1,-154
2,-46
3,-82
1,-151
2,-58
3,-83
1,-149
2,-58
3,-89
1,-151
2,-48
3,-79
1,-153
2,-47
3,-81
1,-163
2,-58
3,-84
1,-150
2,-50
3,-90
1,-155
2,-50
3,-80
1,-155
2,-55
3,-80
1,-150
2,-50
3,-85
1,-152
2,-48
3,-91
1,-156
2,-45
3,-82
1,-151
2,-56
3,-83
1,-162
2,-44
3,-86
1,-154
2,-43
3,-94
1,-157
2,-49
3,-83
1,-152
2,-58
3,-81
1,-153
2,-53
3,-87
1,-153
2,-49
3,-91
1,-153
2,-49
3,-81
1,-154
2,-46
3,-82
1,-151
2,-58
3,-83
1,-149
2,-58
3,-89
1,-151
2,-48
3,-79
1,-153
2,-47
3,-81
1,-163
2,-58
3,-84
1,-150
2,-50
3,-90
1,-155
2,-50
3,-80
1,-155
2,-55
3,-80
1,-150
2,-50
3,-85
1,-152
2,-48
3,-91
1,-156
2,-45
3,-82
1,-151
2,-56
3,-83
1,-162
2,-44
3,-86
1,-154
2,-43
3,-94
1,-157
2,-49
3,-83
1,-152
2,-58
3,-81
1,-153
2,-53
3,-87
1,-153
2,-49
3,-91
1,-153
2,-49
3,-81
1,-154
2,-46
3,-82
1,-151
2,-58
3,-83
1,-149
2,-58
3,-89
1,-151
2,-48
3,-79
1,-153
2,-47
3,-81
1,-163
2,-58
3,-84
1,-130
2,-120
3,-45
1,-135
2,-130
3,-50
1,-135
2,-145
3,-50
1,-130
2,-145
3,-45
1,-134
2,-138
3,-51
1,-146
2,-145
3,-52
1,-131
2,-146
3,-53
1,-132
2,-134
3,-46
1,-134
2,-125
3,-54
1,-127
2,-139
3,-53
1,-122
2,-134
3,-61
1,-123
2,-133
3,-57
1,-123
2,-139
3,-51
1,-133
2,-140
3,-51
1,-134
2,-136
3,-62
1,-141
2,-138
3,-63
1,-139
2,-148
3,-49
1,-141
2,-138
3,-49
1,-113
2,-127
3,-130
2,-120
3,-45
1,-135
2,-130
3,-50
1,-135
2,-145
3,-50
1,-130
2,-145
3,-45
1,-134
2,-138
3,-51
1,-146
2,-145
3,-52
1,-131
2,-146
3,-53
1,-132
2,-134
3,-46
1,-134
2,-125
3,-54
1,-127
2,-139
3,-53
1,-122
2,-134
3,-61
1,-123
2,-133
3,-57
1,-123
2,-139
3,-51
1,-133
2,-140
3,-51
1,-134
2,-136
3,-62
1,-141
2,-138
3,-63
1,-139
2,-148
3,-49
1,-141
2,-138
3,-49
1,-113
2,-127
3,-49
1,-130
2,-120
3,-45
1,-135
2,-130
3,-50
1,-135
2,-145
3,-50
1,-130
2,-145
3,-45
1,-134
2,-138
3,-51
1,-146
2,-145
3,-52
1,-131
2,-146
3,-53
1,-132
2,-134
3,-46
1,-134
2,-125
3,-54
1,-127
2,-139
3,-53
1,-122
2,-134
3,-61
1,-123
2,-133
3,-57
1,-123
2,-139
3,-51
1,-133
2,-140
3,-51
1,-134
2,-136
3,-62
1,-141
2,-138
3,-63
1,-139
2,-148
3,-49
1,-141
2,-138
3,-49
1,-113
2,-127
3,-49
1,-50
2,-110
3,-90
1,-55
2,-150
3,-80
1,-55
2,-120
3,-80
1,-60
2,-130
3,-85
1,-52
2,-108
3,-91
1,-56
2,-112
3,-82
1,-51
2,-118
3,-83
1,-62
2,-134
3,-86
1,-54
2,-113
3,-94
1,-57
2,-149
3,-83
1,-52
2,-118
3,-81
1,-63
2,-128
3,-87
1,-53
2,-109
3,-91
1,-53
2,-149
3,-81
1,-54
2,-130
3,-82
1,-61
2,-128
3,-83
1,-49
2,-118
3,-89
1,-51
2,-148
3,-79
1,-53
2,-117
3,-81
1,-63
2,-128
3,-84
1,-50
2,-110
3,-90
1,-55
2,-150
3,-80
1,-55
2,-120
3,-80
1,-60
2,-130
3,-85
1,-52
2,-108
3,-91
1,-56
2,-112
3,-82
1,-51
2,-118
3,-83
1,-62
2,-134
3,-86
1,-54
2,-113
3,-94
1,-57
2,-149
3,-83
1,-52
2,-118
3,-81
1,-63
2,-128
3,-87
1,-53
2,-109
3,-91
1,-53
2,-149
3,-81
1,-54
2,-130
3,-82
1,-61
2,-128
3,-83
1,-49
2,-118
3,-89
1,-51
2,-148
3,-79
1,-53
2,-117
3,-81
1,-63
2,-128
3,-84
1,-50
2,-110
3,-90
1,-55
2,-150
3,-80
1,-55
2,-120
3,-80
1,-60
2,-130
3,-85
1,-52
2,-108
3,-91
1,-56
2,-112
3,-82
1,-51
2,-118
3,-83
1,-62
2,-134
3,-86
1,-54
2,-113
3,-94
1,-57
2,-149
3,-83
1,-52
2,-118
3,-81
1,-63
2,-128
3,-87
1,-53
2,-109
3,-91
1,-53
2,-149
3,-81
1,-54
2,-130
3,-82
1,-61
2,-128
3,-83
1,-49
2,-118
3,-89
1,-51
2,-148
3,-79
1,-53
2,-117
3,-81
1,-63
2,-128
3,-84

